,sentence
38664,Lwebyalemanga ng'olwo ekyemisana akirunga mu mmindi!
38665,Lyogerwako ng'Abazungu kubanga ne langi yaalyo “mmyufu” nga Abazungu
38666,Maama nsitulaamu katono.
38667,Maama sikyaddamu era nsaba kisonyiwo.
38668,Magulu abiri atudde ku “magulu” asatu. Magulu abiri ye ani?
38669,Manya nti n'abo b'okozesa baatendekebwa butendekebwa.
38670,Mazima ddala likwasa n'ensonyi okwatula naye kyemmanyi nti olitegedde.
38671,Mbu ayagala nnyo taata we!
38672,Mbuulira akabi akalala akali mu bugoye obumpi.
38673,Mikayiri bwajja wano mugambe nti siriiwo.
38674,Mpa ku mazzi ago nyweko.
38675,Mpaako ku kikajjo kyo.
38676,Mpaamu mu ggaali yo nvugemu.
38677,Mpaamu mu mmotoka yo nvugemu.
38678,Mpozzi bagamba nti amazima gakaawa?
38679,Mpozzi tuyinza okwogera ne tugamba nti omwaka omukazi gukoma mu mwezi guno.
38680,Mu bantu abo abangi ne mwana muwala Nnakitto naye mwe yali.
38681,"Mu bitundu ebisinga obungi mu mpandiika y'Oluganda, tuwandiika nga bwe twogera."
38682,Mu butanwa bangi bawasiza era ne bafumbirwa ab'enganda zaabwe.
38683,Mu butuufu ebigambo ebyo byandiwandiikiddwa bulungi!
38684,Mu butuufu kino olabira ddala nga kisoboka naddala eri abaana abato.
38685,"Mu ebyo abaana bye baalabanga, mwalingamu obutiko."
38686,"Mu kubonga, oluusi enje zisobola okukoonagana, emu n'etomera ginne waayo n'egwa."
38687,Mu kyoto musobola okubeeramu omuliro bw'atyo omwana n'aggya.
38688,"Mu mazima ffenna ku nsi kuno tusobya, era teri muntu atuukiridde."
38689,Mu ngeri yeemu naawe owulira ng'oteewulukuse era ne ky'olya kiba kijja kukuwoomera.
38690,Mu nsi muno ani yeegomba ngalo bunani?
38691,Mu nsi muno tulina emisono nkuyanja abantu gye bayinza okukolamu enviiri zaabwe.
38692,Mu ttale mubeeramu obukubo obutonotono abantu bwe bayitamu.
38693,Mu ttale omwo era mubeeramu n'ensolo enkambwe.
38694,Mu wiiki ezijja tujja kwekkaanya ebirala ebifa ku mpandiika y'Oluganda.
38695,Muje gye ndi mwenna abakooye.
38696,Mukamwana oyo mu kusooka yali muntu mulamu naye oluvanyuma nayingirira obwamalaaya.
38697,Mukasa yazaalibwa mu maka agalimu eddiini.
38698,Mukwano nsaba onsonyiwe ensobi gye nakoze.
38699,Mukwano nziriramu bambi saagenderedde.
38700,Munnange sikyaddamu kukulimba.
38701,Muntu ki wansi w'enjuba gwe wali olabye nga mugezi naye nga talina mpisa?
38702,Musajja wattu ng'akkalira awo ku lubalaza ng'alinda nnyinimu.
38703,Mutebi antawaanyizzaamukko katono olwaleero.
38704,Muwakanya; kitegeeza ekiseera ekiwakanya kiri ekiwedde.
38705,"Muwogo bw'akula obulungi, amulisa n'aleeta ensigo."
38706,Mwatuuka bulungi mukyalo?
38707,N'ebiringa ebyo byonna oteekwa okubyebuuza.
38708,N'enkyukakyuka endala nnyingi ze tutasobola kulaba eziri munda eyo.
38709,N'olwekyo kya magezi omuntu nga tonnaba kujjulira banno mmere okumala okunaabako.
38710,N'omuwandiisi omu owa Bbayibuli naye yabiraba mu ekiseera kino kye tuyitamu.
38711,Namusanze agangalamye ku luguudo ng'enkuba efukumuka mukoka ng'amuyitamu.
38712,Naye ago amawemukirano ag'engeri ey'okubiri tegaalimu mu Buganda.
38713,"Naye bw'oba ng'oyagala okuloza ku kubonaabona, mujeemere."
38714,Naye ddala lwaki nywa omwenge oba sigala?
38715,Naye ddala lwaki onjagala?
38716,Naye ensangi zino ebintu bingi tubikyusizza nnyo era tubikola kifuulannenge.
38717,Naye ggwe olowooza abakutunuulira nga teweefaako bo bagamba batya?
38718,Naye ggwe olowooza ekyo abaana banakiyiga batya nga ggwe kennyini tewakikolanga?
38719,Naye nga olwo lwonna kiki?
38720,Naye nno kino teyakikolanga buli omu.
38721,Naye olina kizibu ki bambi?”
38722,Naye saamanyirawo nti kino kye nnali ngenda okutuukako.
38723,Nazzikuno nga buli maka ga Muganda mubaamu omuzigo nga gwakuwummuliramu emisana.
38724,Ndi mugezi nga mubuulire.
38725,Ne by'obuwoowo nabyo bwe bityo bwe biri.
38726,"Newankubadde nga ebyo byonna weebiri, tebisobola kutuukirizika nga tolina buyambi."
38727,"Ng'onaaba, fuba era okulaba nti ebitundu byo eby'omubiri si bizifu."
38728,"Ng'oyagala okukakasa kino, wuubako olubu lwebigere e Buddu."
38729,Ng'oyagala okwewala okubeera omulimba teeka nnyo essira ku buli kigambo ky'oyogera.
38730,Ngenda kugula essaati eyo naye njagala kusooka kugisibako.
38731,Ngeri ki gyennina okukolamu?
38732,Nja kumulinda nnyabo.
38733,Nkakasa ng'abantu ab'engeri eyo wali obalabyeko.
38734,Nnamukisa anaamukwata empola y'anasobola okuwangula omutima gwe.
38735,Nnazimba ennyumba yange eriko omuti gumu.
38736,Nnina mukazi wange afumita akyali muto.
38737,Nnindaako awo nzija mangu.
38738,"Nsobola okuwulira, okuwunyiriza, okulaba era n'okumanya empooma y'ekintu kyonna."
38739,Nsuniraako katono ndyeko.
38740,"Nze bwe ndya mba mulamu, naye ate bwe nnywa nfa bufi."
38741,Nze ndowooza bwe kiba kisoboka oyongeza bwongeza muliro.
38742,Nze nzijukira nga nkyali muto maama yatugaananga okwogererayo.
38743,Oba ababeera n'ezo ezikirako ezange obuyonjo.
38744,Oba kale ogikoze olowooza yandifaananye etya?
38745,Oba kiba kiki ekyo kyebagamba ky'oba onoonya?
38746,Oba nno amwagaza ki oyo atunula bw'atyo?
38747,Obadde okimanyi nti abawala abasinga ababeera n'ebirwadde ebitali bimu baba babalagavu?
38748,Obudde baabukuumye okukamala!
38749,Obuvubuka bwo buteekwa okuba obw'omuwendo.
38750,Obuvubuka bwo kye kiseera woteekwa okweyigiririzaamu n'okubeera ow'obuvunaanyizibwa.
38751,Obuvubuka bwo kye kiseera woteekwa okweyigiririzaamu okukwata ebiseera.
38752,Obuvubuka kiseera kya kusoomoozebwa mu buli kintu.
38753,Obuwanvu bw'akasubi buyinza okuba nga bwenkana ng'ekiseera ky'engalo kimu.
38754,Obuyonjo tebukoma awo wabula buteekwa nnyo okulabikira mu kifo awategekerwa ebyokulya.
38755,Obwo bwe tuyita obuntubulamu.
38756,Ogenda kuyingirira obuvunaanyizibwa obutali bwetegekere.
38757,Ogwo gwe mukwano ogwa Nnamaddala!
38758,Ogwo gwe mukwano omutuufu era ogwetaagibwa mu bulamu bwaffe.
38759,Okimanyi nti engoye z'ayambadde zange?
38760,"Okukaaba kw'ebinnyonyi ng'enkoko, endegeya n'ebinnyonyi byonna kwanjawulo."
38761,Okunywa omwenge tekwalibadde kwa bulabe singa abagunywa beefuga.
38762,Okusenya amannyo kwetaaga okukkaatiriza.
38763,Okusinga baatunuuliranga nnyo era nga beetegereza nnyo omwana omuwala.
38764,Okusinga ennyo omuzizo guno guluubirira nnyo abato.
38765,Okuva edda ng'abantu babeera n'oluzzi oba enzizi ku kyalo kwe babeera.
38766,Okwo kwekukwata mu ngalo okwa kizibwe.
38767,Olaba otya singa ekintu kino okitandikirawo nga bukyali?
38768,Olabye akamwa bwe kayinza okubuza abantu emirembe?
38769,Olabye bwe baali bamanyi obudde!
38770,Olina okubeera n'obuvunanyizibwa.
38771,Olowooza asobola atya okusomera mu nzikiza?
38772,Olowooza ekibuuzo ekyo ky'alina okubuuza?
38773,Olowooza kiyinza kukutwalira magezi ga nnabaki okukola ekinti ng'ekyo?
38774,Olowooza lwaki abantu tebatuukiriza bye basuubiza?
38775,Olowooza omuntu oyo aba anoonya ki?
38776,Olowooza omuntu oyo tayinza kukuwa obutwa?
38777,Oluggi olumu nga lukwese milliyoni za ddoola bbiri.
38778,Olumu enswa zibuuka kumpi kulowoozesa muntu nti ziwedde mu ttakka.
38779,Oluyiira bwe lwokebwa; ekkubo eriyita awo awayidde n'enkulukuku byo bisigalawo.
38780,Olwaleero twogere ku nzirugaze.
38781,"Olwali olwo, nga Bazibumbira agenda ku mbaga ne mutaayi we Kalibbala."
38782,Olwo bw'otanywa banaamanyira ku ki nti oli musajja?
38783,Olwo bwe gutuuka mu kunaaba kiba kitya naddala eri bagannemeredde.
38784,Olwo ekisuubizo tolaba nga kiba kimulemye?
38785,Olwo empandiika y'Oluganda baba batuuse okugivuluga.
38786,Olwo ng'awulira ayagala kwetongola.
38787,Olwo oba toswadde?
38788,Olwo obeera oli mu kifo kyakumeka?
38789,Omanyi kye yakolanga?
38790,Omanyi Lwaki ngamba bwentyo?
38791,Omu ku basajja abo yali ayambadde enkofiira nzirugavu.
38792,Omuddo ogwo gusaawe oluvanyuma lw‘ekiseera ekigere.
38793,"Omuganda agamba nti, ""kwata byenkubuulira lw'oliwangaaza amatu go"""
38794,Omuganda gwe yasinzanga ku lunaku olwo.
38795,Omuganda obudde yabugereranga ku bintu eby'enjawulo.
38796,"Omuganda yabiraba nti, ""Embuulire tefa yonna"""
38797,Omugoba w'emmotoka eyo yasobola atya okulaba omusajja oyo?
38798,Omukazi oyo wabisiraani nnyo!
38799,Omukulembeze yakeeranga ku makya n'akuba Saagalaagalamidde.
38800,Omukulu bamukubye ennume y'ekigwo n'atandika n'okuwulira obunyenyeenkule nga bunyanyaagira.
38801,Omukwano ogw'obukuusa gulumya nnyo.
38802,Omukwano ogwa nnamaddala kyongera okuleeta essanyu mu bulamu bw'omuntu.
38803,Omulaalo ng'atudde ku katebe ak'amagulu asatu ng'akama ente.
38804,"Omulenzi yeesitulanga nagenda eri ewaabwe w'omuwala, ng'agenze ng'omugenyi."
38805,Omulimu guno gumutuddemu.
38806,Omuntu amanyiddwa ennyo ng‘eyakola ennyo ku kaweefube oyo yali Mugwanya.
38807,Omuntu atasobola kwoza ssuuka n'ebisulwako ebirala abikola atya?
38808,Omuntu ayinza okukola ensobi naye neyeekwasa obuntuntu obutaliimu.
38809,Omuntu ensangi zino ayinza n'okusibibwa oba okuvunaanibwa singa yeetumiikiriza n'alima oluguudo.
38810,Omuntu omuyonjo aba mulungi okubeera naye.
38811,Omuntu ye ayita mu mitendera era n'asobola okutuuka ku kituufu.
38812,Omuntu yenna bwe yawuliranga engoma eyo ng'amanya bumanya nti waliwo omulimu ogw'okukola.
38813,Omuntumulamu bwatyo bw'ayisa abalala.
38814,Omusajja omu bamutwala mu maaso g'enzigi bbiri.
38815,Omusajja oyo ali mu kibuga atambula.
38816,Omusajja oyo mumpi nnyo ddala.
38817,"Omusomi waffe, ka twongere okwogera ku nsobi ezirabikira mu mpandiika y'Oluganda."
38818,"Omusomi waffe, tukyagenda mu maaso n'ebigambo byaffe."
38819,"Omuvubuka atanyumya, mbuzi ya Zigeye etoba ku makya ekala ggulo!"
38820,Omuwala muzibe era tasobola kulaba.
38821,Omuwala naye bwatuuka mu kiseera ekyo atandika okusikirizibwa eri abalenzi.
38822,Omuwala oyo ayambala empale ezimukwata ennyo.
38823,Omuwala oyo yalagibwa okusimba eppaapaali oba emmere enganda yonna.
38824,Omuwala oyo yatonderwamu amagi kafukunya ng'akaagula Mukono.
38825,Omuwala yaloza ku bulumi bw'okuzaala ate ekitali ku mulenzi.
38826,Omuwandiisi agamba nti ebyo ebiriko akawuuwo bye bisinga.
38827,Omuwandiisi atugamba nti omuwala yamubuulira buli kumi.
38828,Omuzadde ku nsi kuno musigire wa Katonda.
38829,Omuzannyo guno guyigiriza abaana okuteesa.
38830,Omuzannyo gw'okubonga enje guzannyibwa abaana ab'obulenzi n'abobuwala.
38831,Omuzannyo gw'okubonja enje nagwo gwanyumiranga nnyo.
38832,Omuzannyo ogwo gwayambanga abaana okwekuumira ewaka.
38833,"Omuzibe bw'aba ng'ayagala kugula gaalubindi, akola atya?"
38834,Omuzigo ogwo gwayayayirirwangamu essubi etteete oba ebirago eby'okutuulako.
38835,Omuzizo guno gulimu ebigendererwa ebirungi.
38836,Omwami ono yafunanga awantu n'akuba engoma n'ewulikika bulungi ku kyalo kyonna.
38837,Omwami oyo yali tayomba era nga takambuwalirangako ku mukyala ng'eri eyo!
38838,Omwami wange bwadda awaka ng'anywedde omwenge ayomba ekiro kyonna.
38839,Omwana ayinza okulinnya ku ssiga n'aseerera n'alinnya mu Kyoto.
38840,Omwana omulenzi yenna tateekeddwa kusula mu kawale ako munda.
38841,Omwenge guzitoya olulimi oli n'abeera nga n'ebigambo ebimu tasobola kubyatula bulungi.
38842,Ono ssaayansi wa bajjaajjaffe!
38843,Ono yali ayagala kuwandiika nti njagala kulya mmere.
38844,Osaana otandikirewo okwetegekera obulamu bwo obwo mu maaso ng'okyali muto.
38845,Osobola okutunga olugoye nga tolabanga ko alutunga?
38846,Oteekwa buteekwa kubanga teri kiramu ku nsi kuno.
38847,Oteekwa era okulaba nti n‘oluggya lwo nalwo lulabika bulungi buli kiseera.
38848,Oteekwa kukola ki bw'otuuka mu kattu ak'engeri eyo?
38849,Ova emabega ng'ojja oyisa abakuli mu maaso.
38850,Ovunaanyizibwa okutuukiriza ebyo by'osuubiza.
38851,Oyinza okubeera n'abangi naye weesige batono.
38852,Oyinza okutandikawo obulamu obubwo wekka nga tolina gw'olabiddeko?
38853,Oyo eyayisa amazzi mu ttaka negatalumira y'amanyi obwekusifu bwe nsonga eyo!
38854,Peetero ayogereza Nnantumbwe ku kyalo Magulu.
38855,Si kirungi kumala “geebikkulira” muntu yenna nga waakamulaba!
38856,Si kyangu kutunuulira butunuulizi basajja abo n'omanyaako ayogera amazimba oba alimba.
38857,Sijja kukulimba nti nze nkimanyi.
38858,Simanyi oba kibasaana!
38859,Singa obeera mu bantu ng'okunywa n'osulayo bbiri bakivumirira.
38860,Singa onoddamu okuwunya ng'omanya nti oyo akuloga tannaba kussa mbugo.
38861,"Sirina magumba, sirina bigere, sirina maaso wadde emikono."
38862,"Sitama bireebeete, Ebijanjaalo."
38863,So nno oba ne ku bawala bwe gwalibadde!
38864,So okutangira kuno kwayambangako bwe kutyo.
38865,Sooka ompumuzeemu.
38866,Ssabbuni ono atukuza bulungi engoye!
38867,Ssekukkulu ekuzibwa buli mwaka mu mwezi gwa December.
38868,Ssempala bw'oba ng'okozesa ebintu ebyo weewale okubiyitiriza.
38869,Ssenkaaba abandi gye bayita e Zzirakumwa.
38870,"Taata sigenderedde, nsonyiwa."
38871,"Teeberezaamu singa owanika omukono ng'enkwawa zonna zisaliridde, oyinza kulabika otya mu banno?"
38872,Teekamu amazzi matono.
38873,Tekikwetaagisa kumala kunywa olyoke omanye akabi akali mu mwenge.
38874,Temuggya kuyita bigezo okujjako nga mukoze emirimu egibaweebwa.
38875,Tetugaanye kakube naye kabe kasaamusaamu so si ako akasasamaza buli omu.
38876,Tewali na kimu ku bigambo ebyo kirina kubeerako kasukkize.
38877,Teweelabira nti mwana mugimu ava ku ngozi.
38878,Teyalwa ng'afunayo munne eyagamusongoleranga.
38879,"Teyamulinda kubimalayo era n'amubakira nti, taliiwo era genda ojja kudda ng'akomyewo."
38880,Tolaba nga kino Majjankunene ng'enswa egoba ennyonyi?
38881,Toliira ku sowaani oba okunywera ku kikopo n‘okireka awo w‘oliiridde.
38882,Tolinda ssaawa ya kulya olyoke ojjukire nti ebintu si byoze.
38883,"Tomanyi njogera egamba nti, ""Emirimu gya ttoggo gikooya buli omu"""
38884,Tomanyi nti okufumba si kwota?
38885,Tugenda kujja enkya.
38886,Tulabye nti enkozesa y'ennyukuta zino eyawukana.
38887,Tulina ebika by'omwenge bingi mu Uganda.
38888,"Tulina Ttoggo, Ddumbi, Kasambula ne Museenene."
38889,"Tunuulira ebinnyonyi oba ensolo, byonna Mukama alina engeri gye yabyambazaamu."
38890,Tusaanye ebintu bino tuleme kubitwala ng'ebyolubalaato oba eby'okusaaga kubanga bya nsonga.
38891,Tusaanye okulaga obuyonjo obw'ekika ekya waggulu.
38892,Tusaanye tukimanye nti Omukwano ogwannamaddala era ogw'ekimmemmette tegugulwa bugulwa.
38893,Tusanyuse nnyo okubalaba bakulu!
38894,Tuzze tulaba empisa ez'enjawulo Abaganda ze beenyigirangamu okweyamba.
38895,Twetegereze akabi omwenge gwe kalina ku bulamu bw'omuntu.
38896,Twogeremu wabweru wali kati.
38897,Twongere okwewagala ku by'empandiika y'ennyukuta ezo waggulu.
38898,Wa wenteekwa okukikolera ?
38899,Wabula kye ssaamanya nti oba omukyala oyo yali teyeekakasa Ssezaalawe!
38900,Wabula muganda wo anyiiga mangu!
38901,Wabula omuwala ono awulirwa ng'asoma.
38902,Wali ogezezzaako okubuuka olukomera olw'engeri yonna?
38903,Wali otutte obudde okukyefumiitrizaako ekyo?
38904,Waliwo akazannyo akafaananamu zzaala abasajja ke bazannya.
38905,Waliwo ebintu bingi ebiyinza okukugira obulamu bwo okuba obweyagaza.
38906,Waliwo ekipande kye nasanze nga omu ku beesimbyewo yakiwandiikako.
38907,Waliwo emizizo egyekwanya n'ekyoto.
38908,Waliwo n'ebigambo ebirala nga bimpi.
38909,Waliwo ne lwezisobola okubeera ebbiri.
38910,Waliwo obuwango obwo lwe busobola okubeera obubiri.
38911,Waliwo obwana obusanyusa ennyo.
38912,Waliwo omusajja abeera ku mwaliiro ogwekkumi ku kizimbe.
38913,Waliwo omusajja ayambadde biddugavu.
38914,Waliwo omusajja eyaziba omumwa.
38915,"Waliwo omuwandiisi omu eyawandiika nga agamba nti ""Omukwano ogwa Nnamaddala"""
38916,Wandibadde n'akawale akatonototono ate nga kaweeweevu k'oba osulamu.
38917,Wandizzeemu otya singa bakubuuziza ekyatuusewo?
38918,Wayita mmeka ng'obufumbo tebusasise?
38919,We tutuukidde wano nsuubira nti ebyetaaga okwetegerezebwa ku nsonga eno bigenda bitangaala.
38920,"Weegendereze, eddya oyinza okulifuwa mu ngombe."
38921,Weetegereze ensobi z'empandiika eziri mu bigambo ebyo.
38922,Weewaawo oyinza okuba nempanvuyirivu naye fuba okulaba nti oziyonja.
38923,Weewale okuliira ku ssowaani oba okunywera ku kikopo ekikyafu.
38924,Wekkaanye eby'okulabirako bino wammanga.
38925,Wekkaanye olengere ensobi endala eziri mu kiwandiiko ekyo.
38926,Wekkaanye sentensi zino olengere ebyetaaga okutereeza.
38927,Wiiki eno nnina ekiwandiiko kye ndabyeko nga kiwandiikiddwa mu ngeri eno.
38928,Yagaana okugenda mukyalo okulima.
38929,Yagoba omubbi naye teyamukwata.
38930,Yakubibwanga ku makya ddala ku ssaawa abantu we batandikira okukola emirimu.
38931,"Yali amuyisaamu amaaso okukamala,olw'endabika ye."
38932,Yamubuuliranga bwe yalina omuzimu.
38933,Yamugambye nti taddangayo kumumanyiira mpozzi ng'alina ky'anoonya.
38934,"Yamulabiriza nga n'amubuuza nti, kiki ggwe muzeeyi, oyagala ki?"
38935,Yamulagira atuule awo ku kifugi mbu w'aba amulindira okutuusa lw'anadda.
38936,Yandiddidde ekikoola ky'ejjuuni n'akifuura manvuuli ye.
38937,Yasanze munne mu luguudo nebagenda naye mu katale.
38938,Yatunuulira omuwala oyo n'atenguka emmeeme era n'atumayo munne.
38939,Yatuwa eby'okulabirako bingi kwolwo.
38940,Ye abaffe omubiri gw'olina ogwenyumirizaamu?
38941,Yeesanga nga kimukaluubiridde era nga kimuzitooweredde okusinga ye bwe yalowooza.
38942,Yenga eddagala lino onaabe.
38943,Yenna eyakikolako weekube mu kifuba.
38944,Zinunula teyali mubi ng'akkiriza era ne bambalagana bukanzu.
38945,Amasomero gaali gaagala nguzi okusobola okutuwa olukusa okuyingira.
38946,Abaakawandiika baafuba okulaba nga batuusa empandiika y’Olungereza.
38947,Abaana bajja ku ssomero nga boogera ennimi mmeka?
38948,Abaana balina okubonerezebwa nga boogedde ennimi endala.
38949,Abaana basomesebwa mu nnimi ennansi.
38950,Abaana batya okubonerezebwa ku ssomero.
38951,Abaawandiika akapande ako waggulu b'akolamu ensobi.
38952,Abakuumi nabo twabasanga nga bazibu era abamu baatugaana okuyingira.
38953,Abalina obupande obugoberera enteekateeka ya Gavumenti.
38954,Abamanyi ggulama n'enjatula y'Oluganda ng’abafunako amagezi.
38955,Abaminsani tebaakoma ku ekyo wabula nabo baakola eddimu ly’okusomesa abantu ennimi zaabwe.
38956,Abaminsani bano baatandika n’okuleetawo empandiika ez’enjawulo.
38957,Abanoonyereza baasalawo okukola okunoonyereza kuno mu bifo ebyo.
38958,Abanoonyereza baasobola okuzuula ensobi ez’enjawulo.
38959,Abanoonyereza baatandika okugenda mu masomero okukola okunoonyereza.
38960,Abanoonyereza baatandika okukungaanya n’okwekebejja ebiwandiiko wamu n’okubisengeka obulungi.
38961,Abantu abaasooka okunoonyereza n'okuteeka Oluganda mu buwandiike baali Bazungu.
38962,Abantu abawandiika Oluganda oluusi bakaluubirirwa.
38963,Abasomesa abamu baakaluubirirwa okutwanukula anti baalowooza nti tutumiddwa ku kketta mirimo gyabwe.
38964,Abasomesa tebaatuwa budde bumala okwogera nabo.
38965,"""Abayigisa b’olulimi Oluganda era n’abantu bonna abayagaliza olulimi luno, mwebale."""
38966,Abayizi abamu bayonoona Obubaka okutuuka obulungi bye bulina okugenda.
38967,Abazaaliranwa b’olulimi bayinza okwagala okwoleka okuwangaala.
38968,Abazadde bagala abaana baabwe okusomesebwa mu nnimi engwiira.
38969,Abazungu bafuba nnyo okuyiga ennimi nga Oluganda okusobola okusomesa obulungi.
38970,Akakiiko kaafuna okwanukulwa okuva eri ggavumenti ng’eyita mu kiwandiiko.
38971,Kano kekamu ku bubonero obukozesebwa mu kuwandiika.
38972,Akapande akalagibwa wammanga kaasangibwa ku luggi lw’omukulu w'essomero.
38973,Akapande ako kaateekebwamu ensobi z’empandiika eziwerako.
38974,Akapande ako kandiwandiikiddwa nga ebigambo ebyo biri bisatu.
38975,Akapande kano kaaniriza omuntu yenna.
38976,Akapande kano kaliko empandiika za mirundi ebiri.
38977,Alipoota eno ewongeddwa eri bakadde baffe abatuweeredde.
38978,Alipoota y’okunoonyereza eyaweebwayo ng’ekimu ku byetaago by’okumaliriza ddiguli.
38979,"""Amaloboozi gaazo tegaawuka, gafaanagana."""
38980,Amannya g’ennaku za wiiki n’amannya g’abantu.
38981,Amasomero ag’obwananyini agasinga gaali gakozesa lulimi Lungereza.
38982,Amasomero agasinga ekintu kyegassaako essira kwe kulaba nga abaana baabwe boogera Olungereza.
38983,Amasomero agamu gageezaako okukozesa olulimi olunnansi era n’okugoberera enteekerateekera y’ebyennimi.
38984,Amasomero agamu mafunda ekisusse era tebalina webayinza kuteeka bupande buno.
38985,Amasomero agamu twesanga nga gatukkirizza okukola okunoonyereza.
38986,Amasomero go mu bibuga gajja kusomesezanga mu Lungereza okuyita mu ddala lino lyonna .
38987,Amasomero mu budde obwo gaali gagaddewo olwo nga bagenda mu luwumula.
38988,Amasomero nga bwe twogedde waggulu gettanira nnyo okukozesa obupande.
38989,Amawanga ag'enjawulo genyigidde mu nkozesa y'ebyennimi ennansi.
38990,Anti tebaali bazaaliranwa ba lulimi Luganda.
38991,Ate n’Olungereza olw’engeri nti abakulisitaayo baali bava Bungereza.
38992,Ate nga ago omusanvu obupande tegabugoberera.
38993,Awo nno buli omu yawandiikanga ekyo ky'ateebereza nti kye kituufu.
